,id,title,release_date,popularity,vote_average,vote_count
0,278,The Shawshank Redemption,1994-09-23,184.509,8.708,27728
1,238,The Godfather,1972-03-14,179.116,8.688,21035
2,240,The Godfather Part II,1974-12-20,111.875,8.57,12699
3,424,Schindler's List,1993-12-15,116.249,8.567,16148
4,389,12 Angry Men,1957-04-10,89.407,8.547,8892
5,129,Spirited Away,2001-07-20,84.477,8.538,16828
6,19404,Dilwale Dulhania Le Jayenge,1995-10-20,39.329,8.521,4464
7,155,The Dark Knight,2008-07-16,158.077,8.519,33420
8,497,The Green Mile,1999-12-10,159.259,8.506,17806
9,496243,Parasite,2019-05-30,118.889,8.502,18664
10,680,Pulp Fiction,1994-09-10,110.881,8.489,28327
11,372058,Your Name.,2016-08-26,75.229,8.488,11589
12,122,The Lord of the Rings: The Return of the King,2003-12-17,158.909,8.481,24689
13,13,Forrest Gump,1994-06-23,106.745,8.469,27842
14,429,"The Good, the Bad and the Ugly",1966-12-22,81.623,8.461,8807
15,769,GoodFellas,1990-09-12,65.554,8.457,13118
16,346,Seven Samurai,1954-04-26,32.344,8.455,3795
17,157336,Interstellar,2014-11-05,238.354,8.5,36513
18,12477,Grave of the Fireflies,1988-04-16,0.053,8.4,5720
19,637,Life Is Beautiful,1997-12-20,46.819,8.447,13192
20,11216,Cinema Paradiso,1988-11-17,29.556,8.4,4460
21,550,Fight Club,1999-10-15,118.187,8.4,29847
22,667257,Impossible Things,2021-06-17,9.233,8.435,395
23,598,City of God,2002-08-30,43.241,8.426,7507
24,40096,A Dog's Will,2000-09-15,14.532,8.4,1130
25,539,Psycho,1960-06-22,43.771,8.424,10214
26,311,Once Upon a Time in America,1984-05-23,36.645,8.418,5488
27,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,153.158,8.4,25611
28,510,One Flew Over the Cuckoo's Nest,1975-11-19,43.992,8.413,10601
29,696374,Gabriel's Inferno,2020-05-29,11.529,8.4,2416
30,14537,Harakiri,1962-09-15,22.036,8.4,1034
31,704264,Primal: Tales of Savagery,2019-11-21,12.158,8.4,324
32,121,The Lord of the Rings: The Two Towers,2002-12-18,104.633,8.4,22233
33,4935,Howl's Moving Castle,2004-09-09,88.814,8.4,10101
34,324857,Spider-Man: Into the Spider-Verse,2018-12-06,102.713,8.4,15904
35,1891,The Empire Strikes Back,1980-05-20,33.881,8.392,17180
36,724089,Gabriel's Inferno: Part II,2020-07-31,8.686,8.4,1519
37,378064,A Silent Voice: The Movie,2016-09-17,46.138,8.383,4027
38,244786,Whiplash,2014-10-10,86.035,8.378,15384
39,761053,Gabriel's Inferno: Part III,2020-11-19,26.006,8.4,1057
40,423,The Pianist,2002-09-17,57.956,8.378,9336
41,255709,Hope,2013-10-02,20.845,8.375,755
42,807,Se7en,1995-09-22,96.727,8.374,21401
43,1058694,Radical,2023-10-19,24.149,8.4,440
44,27205,Inception,2010-07-15,112.193,8.369,37049
45,620249,The Legend of Hei,2019-08-27,20.102,8.4,378
46,567,Rear Window,1954-08-01,27.35,8.35,6587
47,569094,Spider-Man: Across the Spider-Verse,2023-05-31,146.061,8.349,7312
48,820067,The Quintessential Quintuplets Movie,2022-05-20,25.648,8.3,402
49,274,The Silence of the Lambs,1991-02-14,17.685,8.345,16563
50,1184918,The Wild Robot,2024-09-12,365.732,8.343,4333
51,372754,Dou kyu sei – Classmates,2016-02-20,11.909,8.3,398
52,73,American History X,1998-07-01,31.877,8.34,11711
53,12493,High and Low,1963-03-01,14.219,8.3,941
54,128,Princess Mononoke,1997-07-12,43.172,8.3,8162
55,823219,Flow,2024-08-29,333.925,8.3,1144
56,105,Back to the Future,1985-07-03,74.112,8.317,20239
57,15804,A Brighter Summer Day,1991-07-27,16.546,8.314,328
58,3782,Ikiru,1952-10-09,15.451,8.3,1170
59,644479,Dedicated to my ex,2019-11-01,6.593,8.3,502
60,207,Dead Poets Society,1989-06-02,48.896,8.304,11474
61,101,Léon: The Professional,1994-09-14,57.05,8.304,14999
62,10494,Perfect Blue,1998-02-28,36.214,8.3,2731
63,914,The Great Dictator,1940-10-15,18.181,8.3,3415
64,599,Sunset Boulevard,1950-08-10,23.81,8.3,2627
65,652837,"Josee, the Tiger and the Fish",2020-12-25,20.519,8.3,485
66,632632,Given,2020-08-22,12.974,8.3,393
67,1139087,Once Upon a Studio,2023-09-24,23.182,8.3,365
68,92321,Hotarubi no Mori e,2011-09-17,0.017,8.3,1120
69,335,Once Upon a Time in the West,1968-12-21,60.753,8.3,4428
70,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,26.991,8.3,1644
71,3082,Modern Times,1936-02-05,16.622,8.282,3742
72,42269,We All Loved Each Other So Much,1974-12-21,9.106,8.3,577
73,568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,13.074,8.273,397
74,77338,The Intouchables,2011-11-02,58.666,8.273,17426
75,28,Apocalypse Now,1979-05-19,54.406,8.273,8358
76,901,City Lights,1931-02-06,16.88,8.272,2213
77,1585,It's a Wonderful Life,1946-12-20,39.253,8.3,4433
78,637920,Miracle in Cell No. 7,2019-10-10,32.072,8.3,4428
79,533514,Violet Evergarden: The Movie,2020-09-18,21.091,8.258,416
80,975,Paths of Glory,1957-10-25,21.335,8.3,2974
81,10376,The Legend of 1900,1998-10-28,19.647,8.3,2280
82,8587,The Lion King,1994-06-15,147.33,8.3,18550
83,670,Oldboy,2003-11-21,62.495,8.254,8841
84,1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,32.318,8.3,434
85,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,27.132,8.2,824
86,630566,Clouds,2020-10-09,12.616,8.248,1011
87,447362,Life in a Year,2020-11-27,23.643,8.2,1894
88,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,17.04,8.245,528
89,29259,Le Trou,1960-03-18,16.35,8.2,488
90,25237,Come and See,1985-10-17,20.381,8.244,1543
91,527641,Five Feet Apart,2019-03-14,41.943,8.243,5672
92,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,28.93,8.2,603
93,508965,Klaus,2019-11-08,21.533,8.2,4191
94,299534,Avengers: Endgame,2019-04-24,144.695,8.2,26010
95,299536,Avengers: Infinity War,2018-04-25,277.694,8.2,30180
96,490132,Green Book,2018-11-16,50.927,8.238,11811
97,504253,I Want to Eat Your Pancreas,2018-09-01,29.006,8.236,1582
98,265177,Mommy,2014-09-19,15.445,8.2,2734
99,654299,Out of the Clear Blue Sky,2019-12-24,13.077,8.232,353
100,110420,Wolf Children,2012-07-21,28.107,8.225,2302
101,829402,Ultraman: Rising,2024-06-14,25.691,8.2,303
102,24188,Il Sorpasso,1962-12-05,11.274,8.224,771
103,441130,Wolfwalkers,2020-10-26,16.213,8.221,1213
104,16672,Woman in the Dunes,1964-02-15,17.595,8.2,460
105,603,The Matrix,1999-03-31,121.005,8.221,26056
106,315162,Puss in Boots: The Last Wish,2022-12-07,110.288,8.22,8010
107,618344,Justice League Dark: Apokolips War,2020-05-05,23.947,8.217,1474
108,857,Saving Private Ryan,1998-07-24,71.87,8.218,16051
109,98,Gladiator,2000-05-04,121.54,8.2,19365
110,16869,Inglourious Basterds,2009-08-02,65.749,8.216,22553
111,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,71.991,8.212,4005
112,694,The Shining,1980-05-23,82.221,8.211,17719
113,290098,The Handmaiden,2016-06-01,76.61,8.2,3824
114,37257,Witness for the Prosecution,1957-12-17,16.211,8.2,1442
115,50014,The Help,2011-08-09,62.792,8.2,8411
116,354912,Coco,2017-10-27,104.35,8.2,19752
117,1124,The Prestige,2006-10-17,73.606,8.204,16286
118,11324,Shutter Island,2010-02-14,105.809,8.202,24240
119,11,Star Wars,1977-05-25,95.038,8.202,20884
120,522924,The Art of Racing in the Rain,2019-08-08,25.837,8.2,1506
121,324786,Hacksaw Ridge,2016-10-07,62.44,8.2,13925
122,92060,Michael Jackson's Thriller,1983-11-14,12.079,8.193,690
123,476292,Maquia: When the Promised Flower Blooms,2018-02-24,16.499,8.2,637
124,620683,My Mom Is a Character 3,2019-12-26,6.283,8.191,476
125,313106,Doctor Who: The Day of the Doctor,2013-11-23,11.189,8.2,750
126,284,The Apartment,1960-06-21,20.671,8.19,2366
127,610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,15.034,8.2,378
128,361743,Top Gun: Maverick,2022-05-21,164.95,8.188,9574
129,185,A Clockwork Orange,1971-12-19,33.088,8.188,13002
130,490,The Seventh Seal,1957-02-16,16.445,8.185,3038
131,68718,Django Unchained,2012-12-25,66.579,8.183,26496
132,5156,Bicycle Thieves,1948-07-21,12.717,8.2,2449
133,77,Memento,2000-10-11,52.194,8.179,15074
134,629,The Usual Suspects,1995-07-19,48.166,8.177,10526
135,18148,Tokyo Story,1953-11-03,14.692,8.2,1087
136,556574,Hamilton,2020-07-03,18.871,8.17,1444
137,26451,Investigation of a Citizen Above Suspicion,1970-10-16,8.713,8.2,799
138,851644,20th Century Girl,2022-10-06,71.919,8.2,712
139,592350,My Hero Academia: Heroes Rising,2019-12-20,29.302,8.166,1178
140,797,Persona,1966-10-18,15.51,8.165,2182
141,20941,Innocent Voices,2005-01-28,24.43,8.164,493
142,111,Scarface,1983-12-09,70.524,8.162,12023
143,10098,The Kid,1921-01-21,16.292,8.2,2137
144,426,Vertigo,1958-05-28,29.329,8.2,5813
145,348,Alien,1979-05-25,102.656,8.161,15043
146,1422,The Departed,2006-10-04,57.073,8.16,15098
147,489,Good Will Hunting,1997-12-05,70.377,8.16,12585
148,517814,Capernaum,2018-09-20,16.291,8.2,1737
149,289,Casablanca,1943-01-15,36.039,8.2,5530
150,693134,Dune: Part Two,2024-02-27,164.686,8.152,6273
151,1026227,There's Still Tomorrow,2023-10-26,22.459,8.1,1306
152,606856,Togo,2019-12-20,23.75,8.147,2060
153,537061,Steven Universe: The Movie,2019-10-07,24.342,8.147,789
154,399106,Piper,2016-06-16,10.838,8.147,1645
155,37165,The Truman Show,1998-06-04,72.538,8.146,18606
156,810693,Jujutsu Kaisen 0,2021-12-24,44.811,8.1,1451
157,872,Singin' in the Rain,1952-04-09,26.459,8.1,3186
158,475557,Joker,2019-10-01,85.839,8.142,26122
159,20914,My Friends,1975-10-24,7.68,8.1,704
160,81481,Silenced,2011-09-22,19.694,8.138,656
161,422,8½,1963-02-14,11.175,8.137,2312
162,103,Taxi Driver,1976-02-09,59.134,8.1,12438
163,133919,Scenes from a Marriage,1974-09-15,8.963,8.1,353
164,20334,The Shop Around the Corner,1940-01-12,17.538,8.1,737
165,3780,Red Beard,1965-04-03,11.432,8.1,369
166,791373,Zack Snyder's Justice League,2021-03-18,61.667,8.1,10122
167,9702,Bound by Honor,1993-02-05,37.622,8.132,1388
168,1398,Stalker,1979-05-25,28.077,8.129,2221
169,600,Full Metal Jacket,1987-06-26,55.296,8.125,10638
170,406997,Wonder,2017-11-13,39.281,8.124,7920
171,666,Central Station,1998-04-03,12.079,8.1,929
172,614,Wild Strawberries,1957-08-28,11.45,8.1,1660
173,398818,Call Me by Your Name,2017-07-28,62.301,8.1,12187
174,500,Reservoir Dogs,1992-09-02,39.945,8.12,14453
175,280,Terminator 2: Judgment Day,1991-07-03,77.253,8.12,13099
176,795607,Green Snake,2021-07-23,18.135,8.1,314
177,458220,Palmer,2021-01-28,42.687,8.1,1650
178,575813,Better Days,2019-10-25,37.102,8.1,468
179,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,15.945,8.117,6671
180,600354,The Father,2020-12-23,29.645,8.1,3246
181,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,30.589,8.1,5695
182,508442,Soul,2020-12-25,48.171,8.1,10624
183,531428,Portrait of a Lady on Fire,2019-09-18,42.958,8.112,2612
184,55823,The Great War,1959-10-28,6.3,8.1,345
185,470044,The Hate U Give,2018-10-19,19.423,8.111,2136
186,996,Double Indemnity,1944-07-06,13.232,8.112,1829
187,19,Metropolis,1927-02-06,22.294,8.1,2808
188,762975,Purple Hearts,2022-07-29,44.691,8.105,2609
189,843,In the Mood for Love,2000-09-29,57.138,8.105,2821
